objectid,parentid,filename,title,date,description,subject,location,latitude,longitude,source,type,format,rights,rightsstatement
turtle001,turtle002,001-ST-glass-black-side.jpg,Glass Sea Turtle,2020,A side view of a decorative glass turtle figurine with a black shell. It measures approximately 5.5 cm from head to tail. The turtle rests on top a stylized seaweed base.,sea turtle;glass;black;clear;small,"Tlaquepaque, Mexico",20.6022032,-103.3365416,Angie Velazquez,Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle002,,001-ST-glass-black-top.jpg,Glass Sea Turtle,2020,A top view of a decorative glass turtle figurine with a black shell. It measures approximately 5.5 cm from head to tail. The turtle rests on top a stylized seaweed base.,sea turtle;glass;black;clear;small,"Tlaquepaque, Mexico",20.6022032,-103.3365416,Angie Velazquez,Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle003,turtle004,002-FW-ceramic-tan-side.jpg,Ceramic Freshwater Turtle,2010,A side view of a tan ceramic turtle figurine. It measures approximately 8 cm from head to tail. The turtle is adorned with glaze and functions as a container.,freshwater turtle;ceramic;ceramic glaze;tan;small,"Tonala, Mexico",20.62394404,-103.2388198,"Family, Parent, Mom",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle004,,002-FW-ceramic-tan-top.jpg,Ceramic Freshwater Turtle,2010,A top view of a tan ceramic turtle figurine. It measures approximately 8 cm from head to tail. The turtle is adorned with glaze and functions as a container.,freshwater turtle;ceramic;ceramic glaze;tan;small,"Tonala, Mexico",20.62394404,-103.2388198,"Family, Parent, Mom",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle005,turtle006,003-FW-ceramic-green-side.jpg,Ceramic Freshwater Turtle,2010,A side view of a decorative ceramic turtle figurine with a glazed green shell. It measures approximately 7 cm from head to tail. The figure features dangling appendages and two smaller turtles stacked on top of the larger base turtle. The location is written on the shell.,freshwater turtle;ceramic;ceramic glaze;wire;green;tan;small,"Santa Monica, USA",34.01184561,-118.4899252,"Family, Grandfather",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle006,,003-FW-ceramic-green-top.jpg,Ceramic Freshwater Turtle,2010,A top view of a decorative ceramic turtle figurine with a glazed green shell. It measures approximately 7 cm from head to tail. The figure features dangling appendages and two smaller turtles stacked on top of the larger base turtle. The location is written on the shell.,freshwater turtle;ceramic;ceramic glaze;wire;green;tan;small,"Santa Monica, USA",34.01184561,-118.4899252,"Family, Grandfather",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle007,turtle008,004-T-alabaster-tan-side.jpg,Alabaster Tortoise,2015-05,"A side view of a decorative tan alabaster turtle figurine. It measures approximately 3.5 cm from head to tail. A sticker with ""Peru"" written on it is found on the underside.",tortoise;rock;alabaster;tan;extra small,"Cusco, Peru",-13.53235248,-71.96620075,"Family, Aunt",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle008,,004-T-alabaster-tan-top.jpg,Alabaster Tortoise,2015-05,"A top view of a decorative tan alabaster turtle figurine. It measures approximately 3.5 cm from head to tail. A sticker with ""Peru"" written on it is found on the underside.",tortoise;rock;alabaster;tan;extra small,"Cusco, Peru",-13.53235248,-71.96620075,"Family, Aunt",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle009,turtle010,005-T-wood-brown-side.jpg,Wood Tortoise,2021,A side view of a decorative ironwood turtle figurine. It measures approximately 7.5 cm from head to tail. The wood is dark brown and the remnants of a price sticker can be found on the underside.,tortoise;wood;ironwood;brown;small,"Cozumel, Mexico",20.50611275,-86.94341761,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle010,,005-T-wood-brown-top.jpg,Wood Tortoise,2021,A top view of a decorative ironwood turtle figurine. It measures approximately 7.5 cm from head to tail. The wood is dark brown and the remnants of a price sticker can be found on the underside.,tortoise;wood;ironwood;brown;small,"Cozumel, Mexico",20.50611275,-86.94341761,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
